Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity,EffectivePassing,CloggingProb
2,0.1138336,0.2572728,0.2765827,4,Not eroded,0,0,0,0,1,1,0.220723678,0.749466749,0.792064143,1,0.353091319,0.571428571,0,0.282172468
8,0.2133777,0.2363855,0.3102754,0,ERODED,1,1,1,1,1,1,0.586942842,0.672170623,0.912577447,1,0.728019934,0,0.12195122,0
10,0.1657122,0.1286291,0.2750439,0,ERODED,1,1,1,1,1,1,0.411583181,0.273404279,0.786560106,1,0.335967724,0,0.56097561,0
12,0.2491833,0.3247576,0.2667516,3,Not eroded,0,1,0,0,1,1,0.718670356,0.999202885,0.756899898,1,0.243691933,0.428571429,0,0.60158987
14,0.1028569,0.08766265,0.2528203,0,Not eroded,0,1,1,1,1,1,0.180340793,0.12180269,0.707069905,1,0.088665977,0,0.317073171,0
16,0.1284959,0.1491061,0.259066,0,Not eroded,0,1,1,1,1,1,0.274665752,0.349182037,0.729409757,1,0.158167431,0,0.341463415,0.41954581
18,0.2085657,0.2732251,0.2633839,0,Not eroded,0,1,1,1,1,1,0.569239667,0.808500276,0.744854183,1,0.206216542,0,0.341463415,0
26,0.1100836,0.3246959,0.2958857,0,ERODED,1,1,1,1,1,1,0.206927563,0.998974556,0.861107832,1,0.567892954,0,0,0.428108435
37,0.3151512,0.1752638,0.2871546,0,Not eroded,0,1,1,1,1,1,0.961363888,0.445981953,0.829878109,1,0.470734246,0,0,0.529942105
42,0.08238885,0.1584601,0.2840994,4,Not eroded,0,0,0,0,1,1,0.105039574,0.383797711,0.818950155,1,0.43673632,0.571428571,0,0.348705768
46,0.1793652,0.1893583,0.3163193,0,ERODED,1,1,1,1,1,1,0.461812077,0.498140453,0.934195494,1,0.795275781,0,0.195121951,0
50,0.2915311,0.1766786,0.2628554,0,Not eroded,0,1,1,1,1,1,0.874466389,0.451217601,0.742963825,1,0.200335453,0,0.219512195,0.759530363
62,0.2712065,0.1987152,0.2664473,3,Not eroded,0,1,0,0,1,1,0.799692917,0.532766858,0.755811466,1,0.240305716,0.428571429,0.219512195,0.444405633
65,0.063275,0.1125105,0.2578754,0,Not eroded,0,1,1,1,1,1,0.034720407,0.213755338,0.725151175,1,0.144918567,0,0,0.261228661
67,0.2396325,0.1544044,0.2746244,0,ERODED,1,1,1,1,1,1,0.683533306,0.368789074,0.785059622,1,0.331299575,0,0.268292683,0
69,0.2908604,0.3245995,0.2515033,0,Not eroded,0,1,1,1,1,1,0.871998908,0.998617815,0.70235921,1,0.074010548,0,0,0.00156795
71,0.1283941,0.2945996,0.2746852,4,Not eroded,0,0,0,0,1,1,0.274291234,0.887599348,0.785277094,1,0.33197615,0.571428571,0.317073171,0.368478169
73,0.3020642,0.3142583,0.2993081,0,ERODED,1,1,1,1,1,1,0.913217285,0.960348882,0.8733492,1,0.605977041,0,0,0.079650143
74,0.2497519,0.1321082,0.3043736,0,ERODED,1,1,1,1,1,1,0.720762215,0.286279134,0.891467669,1,0.662345361,0,0.317073171,0
82,0.06416404,0.08163911,0.2881468,0,ERODED,1,1,1,1,1,1,0.037991153,0.099511809,0.833427046,1,0.481775337,0,0,0.008086303
84,0.07178423,0.2870944,0.3255357,3,Not eroded,0,1,0,0,1,1,0.066025558,0.859825395,0.967161057,1,0.897834854,0.428571429,0,0.576158282
85,0.219649,0.2194678,0.2995942,0,Not eroded,0,1,1,1,1,1,0.610014729,0.60956451,0.874372533,1,0.60916073,0,0.292682927,0.373825097
86,0.1602671,0.2810813,0.2587491,5,Not eroded,0,0,0,0,0,1,0.391550854,0.837573149,0.728276258,1,0.154641003,0.714285714,0.219512195,0
90,0.1595052,0.2325986,0.283809,2,Not eroded,0,1,0,1,1,1,0.388747852,0.658156715,0.817911442,1,0.433504781,0.285714286,0.146341463,0.854224332
97,0.05466715,0.2046243,0.2647631,0,Not eroded,0,1,1,1,1,1,0.003052436,0.554634239,0.749787357,1,0.221564126,0,0,0.37329557
105,0.1172879,0.06444719,0.3201802,0,ERODED,1,1,1,1,1,1,0.233431923,0.03589091,0.948005305,1,0.838239446,0,0,0.910739057
108,0.06459445,0.1234324,0.2932718,0,ERODED,1,1,1,1,1,1,0.039574616,0.254173226,0.851758337,1,0.538805766,0,0,0.834444599
111,0.05473876,0.1724279,0.2903517,0,ERODED,1,1,1,1,1,1,0.003315887,0.435487342,0.841313615,1,0.506311218,0,0.317073171,0
118,0.1925539,0.2120631,0.3206411,0,ERODED,1,1,1,1,1,1,0.51033283,0.58216247,0.949653869,1,0.84336829,0,0.146341463,0.655252718
125,0.1236154,0.07703898,0.3077346,0,ERODED,1,1,1,1,1,1,0.256710568,0.08248844,0.903489419,1,0.699746195,0,0,0.676034428
127,0.1774264,0.1250556,0.2665299,0,Not eroded,0,1,1,1,1,1,0.454679302,0.260180085,0.756106913,1,0.24122488,0,0.487804878,0.525448638
128,0.08601811,0.292497,0.2957379,0,Not eroded,0,1,1,1,1,1,0.118391491,0.879818407,0.860579176,1,0.566248252,0,0,0.002531068
130,0.2672113,0.06522112,0.2798077,0,ERODED,1,1,1,1,1,1,0.78499472,0.038754937,0.803599443,1,0.38897876,0,0,0.856418777
131,0.09386347,0.289341,0.2797217,0,Not eroded,0,1,1,1,1,1,0.147254288,0.868139225,0.803291835,1,0.388021762,0,0.268292683,0
134,0.3248738,0.1329769,0.2792748,0,Not eroded,0,1,1,1,1,1,0.997132983,0.289493869,0.801693346,1,0.383048708,0,0,0.50890043
136,0.08127453,0.1831709,0.2541592,4,Not eroded,0,0,0,0,1,1,0.10094003,0.475243188,0.711858932,1,0.103565107,0.571428571,0,2.59E-05
138,0.3251012,0.167653,0.272589,3,Not eroded,0,1,0,0,1,1,0.99796958,0.417817213,0.777779328,1,0.30864987,0.428571429,0,0.000355795
