Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity,EffectivePassing,CloggingProb
2,0.1138336,0.2572728,0.2765827,4,Not eroded,0,0,0,0,1,1,0.220723678,0.749466749,0.792064143,1,0.417791244,0.571428571,0,0.282172468
6,0.1214485,0.1394236,0.2418264,4,Not eroded,0,0,0,0,1,1,0.248738621,0.313350707,0.667746514,1,0.069708845,0.571428571,0.841201717,0.690532607
8,0.2133777,0.2363855,0.3102754,0,ERODED,1,1,1,1,1,1,0.586942842,0.672170623,0.912577447,1,0.755221748,0,0.25751073,0
10,0.1657122,0.1286291,0.2750439,0,ERODED,1,1,1,1,1,1,0.411583181,0.273404279,0.786560106,1,0.402380248,0,0.454935622,0
12,0.2491833,0.3247576,0.2667516,3,Not eroded,0,1,0,0,1,1,0.718670356,0.999202885,0.756899898,1,0.319333328,0.428571429,0,0.60158987
14,0.1028569,0.08766265,0.2528203,0,Not eroded,0,1,1,1,1,1,0.180340793,0.12180269,0.707069905,1,0.179812138,0,0.69527897,0
15,0.08249216,0.2313344,0.2417421,3,Not eroded,0,1,0,0,1,1,0.105419647,0.653478381,0.667444986,1,0.068864585,0.428571429,0.703862661,0.093544045
16,0.1284959,0.1491061,0.259066,0,Not eroded,0,1,1,1,1,1,0.274665752,0.349182037,0.729409757,1,0.242362474,0,0.703862661,0.41954581
18,0.2085657,0.2732251,0.2633839,0,Not eroded,0,1,1,1,1,1,0.569239667,0.808500276,0.744854183,1,0.285606,0,0.557939914,0
26,0.1100836,0.3246959,0.2958857,0,ERODED,1,1,1,1,1,1,0.206927563,0.998974556,0.861107832,1,0.611109708,0,0,0.428108435
37,0.3151512,0.1752638,0.2871546,0,Not eroded,0,1,1,1,1,1,0.961363888,0.445981953,0.829878109,1,0.523668231,0,0,0.529942105
42,0.08238885,0.1584601,0.2840994,4,Not eroded,0,0,0,0,1,1,0.105039574,0.383797711,0.818950155,1,0.493070574,0.571428571,0,0.348705768
46,0.1793652,0.1893583,0.3163193,0,ERODED,1,1,1,1,1,1,0.461812077,0.498140453,0.934195494,1,0.815751069,0,0.210300429,0
50,0.2915311,0.1766786,0.2628554,0,Not eroded,0,1,1,1,1,1,0.874466389,0.451217601,0.742963825,1,0.280313103,0,0.502145923,0.759530363
53,0.09934042,0.1738011,0.2407014,0,Not eroded,0,1,1,1,1,1,0.16740379,0.440569044,0.663722572,1,0.058442033,0,0.896995708,0
62,0.2712065,0.1987152,0.2664473,3,Not eroded,0,1,0,0,1,1,0.799692917,0.532766858,0.755811466,1,0.31628578,0.428571429,0.412017167,0.444405633
65,0.063275,0.1125105,0.2578754,0,Not eroded,0,1,1,1,1,1,0.034720407,0.213755338,0.725151175,1,0.230438681,0,0,0.261228661
67,0.2396325,0.1544044,0.2746244,0,ERODED,1,1,1,1,1,1,0.683533306,0.368789074,0.785059622,1,0.398178979,0,0.407725322,0
69,0.2908604,0.3245995,0.2515033,0,Not eroded,0,1,1,1,1,1,0.871998908,0.998617815,0.70235921,1,0.166622456,0,0,0.00156795
71,0.1283941,0.2945996,0.2746852,4,Not eroded,0,0,0,0,1,1,0.274291234,0.887599348,0.785277094,1,0.398787887,0.571428571,0.618025751,0.368478169
73,0.3020642,0.3142583,0.2993081,0,ERODED,1,1,1,1,1,1,0.913217285,0.960348882,0.8733492,1,0.645384853,0,0,0.079650143
74,0.2497519,0.1321082,0.3043736,0,ERODED,1,1,1,1,1,1,0.720762215,0.286279134,0.891467669,1,0.696115552,0,0.145922747,0
78,0.2769056,0.194288,0.2364483,0,Not eroded,0,1,1,1,1,1,0.820659701,0.516383438,0.648509925,1,0.015847474,0,0.699570815,0
82,0.06416404,0.08163911,0.2881468,0,ERODED,1,1,1,1,1,1,0.037991153,0.099511809,0.833427046,1,0.533605058,0,0,0.008086303
84,0.07178423,0.2870944,0.3255357,3,Not eroded,0,1,0,0,1,1,0.066025558,0.859825395,0.967161057,1,0.908052799,0.428571429,0,0.576158282
85,0.219649,0.2194678,0.2995942,0,Not eroded,0,1,1,1,1,1,0.610014729,0.60956451,0.874372533,1,0.648250128,0,0.360515021,0.373825097
86,0.1602671,0.2810813,0.2587491,5,Not eroded,0,0,0,0,0,1,0.391550854,0.837573149,0.728276258,1,0.239188738,0.714285714,0.703862661,0
90,0.1595052,0.2325986,0.283809,2,Not eroded,0,1,0,1,1,1,0.388747852,0.658156715,0.817911442,1,0.490162234,0.285714286,0.399141631,0.854224332
97,0.05466715,0.2046243,0.2647631,0,Not eroded,0,1,1,1,1,1,0.003052436,0.554634239,0.749787357,1,0.299418611,0,0,0.37329557
105,0.1172879,0.06444719,0.3201802,0,ERODED,1,1,1,1,1,1,0.233431923,0.03589091,0.948005305,1,0.854417766,0,0,0.910739057
108,0.06459445,0.1234324,0.2932718,0,ERODED,1,1,1,1,1,1,0.039574616,0.254173226,0.851758337,1,0.584931646,0,0,0.834444599
111,0.05473876,0.1724279,0.2903517,0,ERODED,1,1,1,1,1,1,0.003315887,0.435487342,0.841313615,1,0.555687008,0,0.266094421,0
118,0.1925539,0.2120631,0.3206411,0,ERODED,1,1,1,1,1,1,0.51033283,0.58216247,0.949653869,1,0.859033654,0,0.150214592,0.655252718
122,0.1975061,0.1840907,0.2358399,0,Not eroded,0,1,1,1,1,1,0.528551796,0.478647025,0.646333778,1,0.009754382,0,0.815450644,0
