Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity,EffectivePassing,CloggingProb
3,0.0901,0.0885,0.2600802,3,Not eroded,0,1,0,0,1,1,0.133530063,0.122968981,0.729938197,1,0.159811458,0.428571429,0.453125,0
9,0.275,0.222,0.3040631,2,Not eroded,0,1,0,1,1,1,0.815566212,0.615952733,0.886405647,1,0.646596916,0.285714286,0.16015625,0
10,0.164,0.136,0.3033449,0,ERODED,1,1,1,1,1,1,0.406123202,0.298375185,0.883850678,1,0.638648161,0,0.2265625,0
16,0.256,0.14,0.3175388,0,ERODED,1,1,1,1,1,1,0.745481372,0.313146233,0.934344923,1,0.79574067,0,0.125,0
18,0.311,0.179,0.2879483,0,Not eroded,0,1,1,1,1,1,0.948358539,0.457163959,0.829077875,1,0.468244641,0,0,0.976004215
19,0.107,0.129,0.3186828,0,ERODED,1,1,1,1,1,1,0.195868683,0.272525849,0.938414659,1,0.808402012,0,0.09375,0
20,0.136,0.266,0.2816828,5,Not eroded,0,0,0,0,0,1,0.30284028,0.778434269,0.806788603,1,0.398900548,0.714285714,0.5078125,0.521513512
30,0.134,0.15,0.2760305,0,Not eroded,0,1,1,1,1,1,0.295462929,0.350073855,0.786680767,1,0.336343112,0,0.453125,0.473779289
33,0.237,0.31,0.3081049,0,ERODED,1,1,1,1,1,1,0.675396533,0.940915805,0.900784192,1,0.691329971,0,0,0.400548519
35,0.173,0.0565,0.2759666,0,Not eroded,0,1,1,1,1,1,0.439321284,0.004800591,0.786453445,1,0.335635892,0,0.34375,0
36,0.168,0.126,0.2992914,0,ERODED,1,1,1,1,1,1,0.420877905,0.261447563,0.86943051,1,0.593785615,0,0.2265625,0
37,0.242,0.197,0.2584054,0,Not eroded,0,1,1,1,1,1,0.693839911,0.523633678,0.723980161,1,0.14127543,0,0.578125,0.548123949
40,0.104,0.124,0.2580318,0,Not eroded,0,1,1,1,1,1,0.184802656,0.254062038,0.722651094,1,0.137140572,0,0.5234375,0
42,0.267,0.318,0.3081233,0,ERODED,1,1,1,1,1,1,0.786056806,0.970457903,0.90084965,1,0.691533615,0,0,0.536576235
43,0.282,0.289,0.2530612,0,Not eroded,0,1,1,1,1,1,0.841386942,0.863367799,0.704968378,1,0.082127923,0,0,0.356124732
49,0.178,0.139,0.2613128,0,Not eroded,0,1,1,1,1,1,0.457764662,0.309453471,0.734323123,1,0.173453391,0,0.53515625,0
61,0.119,0.122,0.3165032,0,ERODED,1,1,1,1,1,1,0.240132792,0.246676514,0.930660817,1,0.784279056,0,0.109375,0.43698511
62,0.182,0.134,0.2533565,0,Not eroded,0,1,1,1,1,1,0.472519366,0.29098966,0.706018897,1,0.085396188,0,0.59375,0
70,0.0988,0.163,0.2830188,0,Not eroded,0,1,1,1,1,1,0.165621542,0.398079764,0.811541371,1,0.413686871,0,0.328125,0
72,0.325,0.0711,0.2765896,3,Not eroded,0,1,0,0,1,1,1,0.058714919,0.788669743,1,0.342531011,0.428571429,0.359375,0
75,0.239,0.286,0.2510215,0,Not eroded,0,1,1,1,1,1,0.682773884,0.852289513,0.697712225,1,0.059553325,0,0.60546875,0
80,0.0552,0.26,0.3244659,0,ERODED,1,1,1,1,1,1,0.004795278,0.756277696,0.958987811,1,0.872407091,0,0,0.3520818
81,0.29,0.287,0.3156086,0,ERODED,1,1,1,1,1,1,0.870896348,0.855982275,0.927478312,1,0.774377974,0,0.1484375,0
84,0.312,0.17,0.2842433,4,Not eroded,0,0,0,0,1,1,0.952047215,0.423929099,0.815897482,1,0.427239156,0.571428571,0,0.693821926
85,0.201,0.23,0.2486861,0,Not eroded,0,1,1,1,1,1,0.542604205,0.64549483,0.689404131,1,0.033706035,0,0.71875,0
90,0.0548,0.252,0.2629281,3,Not eroded,0,1,0,0,1,1,0.003319808,0.726735598,0.74006949,1,0.191330896,0.428571429,0,0.379360897
91,0.0552,0.201,0.3343992,0,ERODED,1,1,1,1,1,1,0.004795278,0.538404727,0.994325138,1,0.982344953,0,0,0.633635438
92,0.133,0.325,0.2912427,4,Not eroded,0,0,0,0,1,1,0.291774253,0.996307238,0.840797574,1,0.504705766,0.571428571,0,0.392891921
99,0.25,0.0723,0.3253012,0,ERODED,1,1,1,1,1,1,0.723349318,0.063146233,0.961959358,1,0.881651863,0,0,0.667317819
103,0.0846,0.325,0.2789918,0,Not eroded,0,1,1,1,1,1,0.113242346,0.996307238,0.797215476,1,0.369117617,0,0,0.005456488
111,0.241,0.202,0.2469274,0,Not eroded,0,1,1,1,1,1,0.690151236,0.542097489,0.683147624,1,0.014241435,0,0.66015625,0.408903805
113,0.165,0.165,0.3086108,0,ERODED,1,1,1,1,1,1,0.409811878,0.405465288,0.902583912,1,0.696929073,0,0.20703125,0
118,0.123,0.0559,0.269771,0,Not eroded,0,1,1,1,1,1,0.254887495,0.002584934,0.76441284,1,0.267065425,0,0.265625,0
