Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity,EffectivePassing,CloggingProb
2416,0.126,0.163,0.2604145,0,Not eroded,0,1,1,1,1,1,0.265953523,0.398079764,0.731127456,1,0.247171934,0,0.422382671,0.605706712
2420,0.225,0.168,0.3033116,0,ERODED,1,1,1,1,1,1,0.631132423,0.416543575,0.883732215,1,0.674456712,0,0.274368231,0
2428,0.116,0.134,0.3203798,0,ERODED,1,1,1,1,1,1,0.229066765,0.29098966,0.94445167,1,0.844467787,0,0.075812274,0
2430,0.318,0.0907,0.2388691,4,Not eroded,0,0,0,0,1,1,0.97417927,0.131093058,0.654480537,1,0.032564851,0.571428571,0,0.533426676
2432,0.0547,0.214,0.2828331,3,Not eroded,0,1,0,0,1,1,0.002950941,0.586410635,0.81088075,1,0.470476692,0.428571429,0,0.375246804
2436,0.312,0.235,0.2430951,4,Not eroded,0,0,0,0,1,1,0.952047215,0.663958641,0.669514367,1,0.074658734,0.571428571,0,0.610827648
2437,0.14,0.158,0.2782604,0,Not eroded,0,1,1,1,1,1,0.317594983,0.379615953,0.794613549,1,0.424929438,0,0.375451264,0
2439,0.0994,0.0555,0.25787,0,Not eroded,0,1,1,1,1,1,0.167834747,0.001107829,0.722075497,1,0.221826954,0,0.324909747,0
2440,0.283,0.173,0.2976612,0,Not eroded,0,1,1,1,1,1,0.845075618,0.435007386,0.863631137,1,0.618174821,0,0,0.000535409
2444,0.309,0.0788,0.2918065,5,Not eroded,0,0,0,0,0,1,0.940981188,0.087149188,0.842803271,1,0.559857961,0.714285714,0,0.518061988
2448,0.0689,0.204,0.2676768,4,Not eroded,0,0,0,0,1,1,0.055330136,0.549483013,0.756962805,1,0.319509464,0.571428571,0,0.986398021
2450,0.224,0.159,0.318706,0,ERODED,1,1,1,1,1,1,0.627443748,0.383308715,0.938497192,1,0.827795581,0,0.119133574,0
2451,0.147,0.0556,0.2708868,0,ERODED,1,1,1,1,1,1,0.343415714,0.001477105,0.768382255,1,0.351483283,0,0.249097473,0
2453,0.0843,0.0991,0.2487986,0,Not eroded,0,1,1,1,1,1,0.112135743,0.16211226,0.689804345,1,0.131469538,0,0,0.000179952
2454,0.249,0.0646,0.2761874,0,ERODED,1,1,1,1,1,1,0.719660642,0.034711965,0.787238932,1,0.404280924,0,0,0.468297796
2467,0.258,0.162,0.3251652,0,ERODED,1,1,1,1,1,1,0.752858724,0.394387001,0.961475544,1,0.89213368,0,0.050541516,0.739149517
2469,0.154,0.0638,0.2723394,0,Not eroded,0,1,1,1,1,1,0.369236444,0.031757755,0.773549822,1,0.365952184,0,0,0.670345
2472,0.307,0.0645,0.2434535,0,Not eroded,0,1,1,1,1,1,0.933603836,0.034342688,0.670789361,1,0.078228646,0,0,0.054145378
2475,0.0549,0.215,0.3156542,0,ERODED,1,1,1,1,1,1,0.003688676,0.590103397,0.927640533,1,0.797397543,0,0,0.389123442
2480,0.243,0.0662,0.2949765,0,ERODED,1,1,1,1,1,1,0.697528587,0.040620384,0.854080422,1,0.591433353,0,0.411552347,0
2484,0.122,0.215,0.2387886,0,Not eroded,0,1,1,1,1,1,0.25119882,0.590103397,0.654194161,1,0.031763016,0,0.610108303,0
2486,0.225,0.317,0.3253557,0,ERODED,1,1,1,1,1,1,0.631132423,0.96676514,0.96215324,1,0.894031192,0,0,0.003429335
2489,0.156,0.252,0.2943497,5,Not eroded,0,0,0,0,0,1,0.376613796,0.726735598,0.851850605,1,0.585189991,0.714285714,0.259927798,0
2500,0.209,0.0647,0.3130369,0,ERODED,1,1,1,1,1,1,0.572113611,0.035081241,0.91832959,1,0.771327425,0,0,0.46326968
2503,0.228,0.196,0.3063269,0,ERODED,1,1,1,1,1,1,0.642198451,0.519940916,0.894459027,1,0.704491185,0,0.252707581,0.442854763
2505,0.109,0.109,0.3252244,0,ERODED,1,1,1,1,1,1,0.203246035,0.198670606,0.961686145,1,0.892723353,0,0.0433213,0
2507,0.132,0.056,0.2848201,0,Not eroded,0,1,1,1,1,1,0.288085577,0.00295421,0.817949425,1,0.490268586,0,0,0.035581547
2509,0.233,0.215,0.3036955,0,ERODED,1,1,1,1,1,1,0.66064183,0.590103397,0.885097924,1,0.678280622,0,0.223826715,0
2514,0.135,0.107,0.2918726,0,ERODED,1,1,1,1,1,1,0.299151605,0.191285081,0.843038419,1,0.560516363,0,0.281588448,0.474278818
2515,0.263,0.147,0.2806391,0,Not eroded,0,1,1,1,1,1,0.771302103,0.338995569,0.803075681,1,0.448622935,0,0.444043321,0.4016418
2516,0.075,0.249,0.3243226,0,ERODED,1,1,1,1,1,1,0.077831059,0.715657312,0.958478027,1,0.883740801,0,0,0.59604254
2519,0.19,0.131,0.2689566,2,Not eroded,0,1,0,1,1,1,0.502028772,0.279911374,0.761515643,1,0.332257156,0.285714286,0.501805054,0
2526,0.228,0.141,0.2529592,0,Not eroded,0,1,1,1,1,1,0.642198451,0.316838996,0.704605517,1,0.172911991,0,0.649819495,0
2527,0.0631,0.177,0.2732456,4,Not eroded,0,0,0,0,1,1,0.033935817,0.449778434,0.776773594,1,0.374978562,0.571428571,0,0.005251339
2528,0.209,0.128,0.2750952,3,Not eroded,0,1,0,0,1,1,0.572113611,0.268833087,0.783353473,1,0.393401857,0.428571429,0.545126354,0
2529,0.131,0.245,0.2854815,5,Not eroded,0,0,0,0,0,1,0.284396902,0.700886263,0.82030233,1,0.496856587,0.714285714,0.375451264,0
2531,0.0777,0.2,0.2694278,3,Not eroded,0,1,0,0,1,1,0.087790483,0.534711965,0.763191919,1,0.336950634,0.428571429,0,0.963515854
2536,0.313,0.298,0.2737161,0,Not eroded,0,1,1,1,1,1,0.955735891,0.896602659,0.778447379,1,0.379665068,0,0,0.808937991
2538,0.11,0.163,0.2818015,0,Not eroded,0,1,1,1,1,1,0.20693471,0.398079764,0.807210874,1,0.460201243,0,0.274368231,0
2540,0.325,0.138,0.2433268,2,Not eroded,0,1,0,1,1,1,1,0.305760709,0.67033863,1,0.076966626,0.285714286,0,0.381720605
2541,0.0817,0.3,0.2365327,0,Not eroded,0,1,1,1,1,1,0.102545186,0.903988183,0.646168885,1,0.009292692,0,0,0.031688711
2545,0.286,0.0886,0.3140899,0,ERODED,1,1,1,1,1,1,0.856141645,0.123338257,0.922075596,1,0.781816033,0,0.19133574,0
2546,0.0548,0.313,0.2743184,0,Not eroded,0,1,1,1,1,1,0.003319808,0.951994092,0.780590038,1,0.385664392,0,0.220216606,0
2547,0.248,0.0941,0.3161759,0,ERODED,1,1,1,1,1,1,0.715971966,0.143648449,0.92949646,1,0.802594036,0,0.19133574,0
2553,0.193,0.216,0.3072225,0,ERODED,1,1,1,1,1,1,0.513094799,0.59379616,0.897645089,1,0.713411981,0,0.220216606,0
2560,0.0946,0.294,0.2877355,0,Not eroded,0,1,1,1,1,1,0.150129104,0.88183161,0.828320847,1,0.519307986,0,0.342960289,0
2563,0.0548,0.251,0.2530142,4,Not eroded,0,0,0,0,1,1,0.003319808,0.723042836,0.704801178,1,0.173459829,0.571428571,0,0.376007378
2565,0.289,0.184,0.2873969,0,Not eroded,0,1,1,1,1,1,0.867207672,0.47562777,0.827116291,1,0.515935296,0,0,0.000989047
2566,0.324,0.0954,0.2873928,4,Not eroded,0,0,0,0,1,1,0.996311324,0.14844904,0.827101705,1,0.515894457,0.571428571,0.296028881,0
2568,0.29,0.199,0.2939014,0,Not eroded,0,1,1,1,1,1,0.870896348,0.531019202,0.850255796,1,0.580724613,0,0,0.001148572
2572,0.211,0.109,0.2516621,0,Not eroded,0,1,1,1,1,1,0.579490963,0.198670606,0.699991135,1,0.159991978,0,0.682310469,0
2573,0.217,0.216,0.3279183,0,ERODED,1,1,1,1,1,1,0.601623017,0.59379616,0.97126959,1,0.91955646,0,0.014440433,0
2576,0.129,0.236,0.2897611,2,Not eroded,0,1,0,1,1,1,0.27701955,0.667651403,0.83552684,1,0.539484362,0.285714286,0.299638989,0
2579,0.157,0.237,0.2797371,0,Not eroded,0,1,1,1,1,1,0.380302471,0.671344165,0.799866851,1,0.439638391,0,0.440433213,0
2582,0.0966,0.12,0.2368931,0,Not eroded,0,1,1,1,1,1,0.157506455,0.23929099,0.647450994,1,0.012882525,0,0.59566787,0
2585,0.111,0.0575,0.2410076,0,Not eroded,0,1,1,1,1,1,0.210623386,0.008493353,0.662088167,1,0.05386579,0,0,0.433282709
2588,0.129,0.299,0.3253035,0,ERODED,1,1,1,1,1,1,0.27701955,0.900295421,0.961967541,1,0.893511243,0,0,0.429317089
2590,0.26,0.152,0.2688126,0,Not eroded,0,1,1,1,1,1,0.760236075,0.35745938,0.761003369,1,0.330822817,0,0.548736462,0.549716933
2591,0.201,0.303,0.2659153,3,Not eroded,0,1,0,0,1,1,0.542604205,0.91506647,0.750696337,1,0.301963705,0.428571429,0,0.003865643
2593,0.325,0.118,0.236775,2,Not eroded,0,1,0,1,1,1,1,0.231905465,0.647030858,1,0.011706167,0.285714286,0.61732852,0
2601,0.325,0.29,0.2967037,0,Not eroded,0,1,1,1,1,1,1,0.867060561,0.860224869,1,0.608637459,0,0,0.000122258
2602,0.23,0.105,0.28265,3,Not eroded,0,1,0,0,1,1,0.649575802,0.183899557,0.810229379,1,0.468652889,0.428571429,0.581227437,0
2604,0.293,0.26,0.2720548,0,Not eroded,0,1,1,1,1,1,0.881962376,0.756277696,0.772537369,1,0.363117371,0,0.332129964,0
2609,0.119,0.319,0.2821487,4,Not eroded,0,0,0,0,1,1,0.240132792,0.974150665,0.808446024,1,0.463659595,0.571428571,0,0.443359826
2610,0.139,0.21,0.2507554,2,Not eroded,0,1,0,1,1,1,0.313906308,0.571639586,0.696765585,1,0.150960619,0.285714286,0.541516245,0
2611,0.0711,0.0555,0.2689895,0,Not eroded,0,1,1,1,1,1,0.063445223,0.001107829,0.761632684,1,0.332584863,0,0,2.21E-08
2613,0.0919,0.0564,0.3000185,0,ERODED,1,1,1,1,1,1,0.140169679,0.004431315,0.87201714,1,0.641655159,0,0,0.000408699
2615,0.245,0.269,0.2446196,0,Not eroded,0,1,1,1,1,1,0.704905939,0.789512555,0.674937716,1,0.089843808,0,0.527075812,0
2618,0.32,0.167,0.3161209,0,ERODED,1,1,1,1,1,1,0.981556621,0.412850812,0.9293008,1,0.802046198,0,0.075812274,0
2624,0.101,0.124,0.2772054,0,Not eroded,0,1,1,1,1,1,0.173736629,0.254062038,0.790860427,1,0.414420908,0,0.342960289,0
2629,0.324,0.224,0.3208421,0,ERODED,1,1,1,1,1,1,0.996311324,0.623338257,0.946096284,1,0.849072614,0,0,0.55429047
2630,0.174,0.161,0.3132389,0,ERODED,1,1,1,1,1,1,0.443009959,0.390694239,0.919048197,1,0.773339485,0,0.133574007,0
2631,0.266,0.14,0.2749978,0,Not eroded,0,1,1,1,1,1,0.78236813,0.313146233,0.783006977,1,0.392431686,0,0.483754513,0
2632,0.307,0.0659,0.290377,4,Not eroded,0,0,0,0,1,1,0.933603836,0.039512555,0.83771788,1,0.545619152,0.571428571,0,0.058232502
2635,0.277,0.313,0.309805,0,ERODED,1,1,1,1,1,1,0.822943563,0.951994092,0.906832232,1,0.739135466,0,0,0.846595663
2643,0.188,0.288,0.2759581,0,Not eroded,0,1,1,1,1,1,0.49465142,0.859675037,0.786423206,1,0.401996938,0,0.397111913,0
2648,0.293,0.102,0.2979548,0,Not eroded,0,1,1,1,1,1,0.881962376,0.17282127,0.864675608,1,0.62109928,0,0.306859206,0
2649,0.131,0.219,0.2371214,0,Not eroded,0,1,1,1,1,1,0.284396902,0.604874446,0.648263162,1,0.015156551,0,0.642599278,0
2651,0.188,0.0628,0.2616271,3,Not eroded,0,1,0,0,1,1,0.49465142,0.028064993,0.735441233,1,0.259250268,0.428571429,0,0.663811184
