Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity,EffectivePassing,CloggingProb
9,0.0555,0.15,0.259,4,Not eroded,0,0,0,0,1,1,0.002590674,0.349925706,0.725881096,1,0.23248242,0.571428571,0.347280335,0
19,0.0649,0.197,0.279,0,Not eroded,0,1,1,1,1,1,0.037379719,0.524517088,0.797080812,1,0.431837636,0,0,0.903247458
22,0.313,0.286,0.255,2,Not eroded,0,1,0,1,1,1,0.955588453,0.8551263,0.711641153,1,0.192611377,0.285714286,0,0.861119954
24,0.138,0.07,0.248,0,Not eroded,0,1,1,1,1,1,0.307920059,0.052748886,0.686721253,1,0.122837052,0,0,0.860876114
26,0.163,0.29,0.326,0,ERODED,1,1,1,1,1,1,0.400444115,0.869985141,0.964400142,1,0.900322392,0,0,9.23E-05
28,0.165,0.263,0.324,0,ERODED,1,1,1,1,1,1,0.40784604,0.769687964,0.957280171,1,0.880386871,0,0.066945607,0
29,0.28,0.0919,0.261,0,Not eroded,0,1,1,1,1,1,0.833456699,0.13410104,0.733001068,1,0.252417942,0,0,3.26E-06
31,0.296,0.221,0.287,0,Not eroded,0,1,1,1,1,1,0.892672095,0.613670134,0.825560698,1,0.511579722,0,0.384937238,0.055660884
33,0.214,0.302,0.308,0,ERODED,1,1,1,1,1,1,0.58919319,0.914561664,0.900320399,1,0.720902698,0,0,0.866286301
46,0.319,0.325,0.271,3,Not eroded,0,1,0,0,1,1,0.977794226,1,0.768600926,1,0.35209555,0.428571429,0.175732218,0
59,0.0751,0.0592,0.244,0,Not eroded,0,1,1,1,1,1,0.075129534,0.012630015,0.67248131,1,0.082966009,0,0,0.425314523
72,0.233,0.222,0.279,3,Not eroded,0,1,0,0,1,1,0.659511473,0.617384844,0.797080812,1,0.431837636,0.428571429,0.414225941,0
75,0.0964,0.148,0.237,0,Not eroded,0,1,1,1,1,1,0.15396003,0.342496285,0.64756141,1,0.013191683,0,0.887029289,0
76,0.19,0.114,0.325,3,Not eroded,0,1,0,0,1,1,0.500370096,0.216196137,0.960840157,1,0.890354631,0.428571429,0.016736402,0.388781255
80,0.246,0.119,0.297,5,Not eroded,0,0,0,0,0,1,0.707623982,0.234769688,0.861160555,1,0.61125733,0.714285714,0.259414226,0.596025105
82,0.192,0.175,0.289,0,Not eroded,0,1,1,1,1,1,0.507772021,0.442793462,0.832680669,1,0.531515244,0,0.217573222,0
85,0.0911,0.14,0.26,0,Not eroded,0,1,1,1,1,1,0.13434493,0.312778603,0.729441082,1,0.242450181,0,0.552301255,0
95,0.135,0.111,0.269,3,Not eroded,0,1,0,0,1,1,0.296817172,0.205052006,0.761480954,1,0.332160028,0.428571429,0.594142259,0
96,0.29,0.168,0.251,0,Not eroded,0,1,1,1,1,1,0.870466321,0.41679049,0.69740121,1,0.152740334,0,0.740585774,0.449841023
98,0.243,0.0563,0.318,0,ERODED,1,1,1,1,1,1,0.696521095,0.001857355,0.935920256,1,0.820580306,0,0,0.570137795
101,0.132,0.252,0.258,3,Not eroded,0,1,0,0,1,1,0.285714286,0.728826152,0.722321111,1,0.22251466,0.428571429,0.539748954,0.448541331
103,0.243,0.316,0.291,0,Not eroded,0,1,1,1,1,1,0.696521095,0.966567608,0.839800641,1,0.551450765,0,0,0.012492548
105,0.175,0.0727,0.309,4,Not eroded,0,0,0,0,1,1,0.444855662,0.062778603,0.903880384,1,0.730870459,0.571428571,0,0.917300633
106,0.159,0.325,0.247,2,Not eroded,0,1,0,1,1,1,0.385640266,1,0.683161267,1,0.112869291,0.285714286,0,1.04E-07
109,0.325,0.261,0.309,2,Not eroded,0,1,0,1,1,1,1,0.762258544,0.903880384,1,0.730870459,0.285714286,0,0.382286904
114,0.204,0.108,0.271,0,Not eroded,0,1,1,1,1,1,0.552183568,0.193907875,0.768600926,1,0.35209555,0,0.456066946,0.517765399
117,0.0721,0.187,0.239,4,Not eroded,0,0,0,0,1,1,0.064026647,0.487369985,0.654681381,1,0.033127205,0.571428571,0,0.879241301
118,0.259,0.262,0.245,0,Not eroded,0,1,1,1,1,1,0.755736491,0.765973254,0.676041296,1,0.09293377,0,0.757322176,0
127,0.291,0.231,0.287,0,Not eroded,0,1,1,1,1,1,0.874167283,0.650817236,0.825560698,1,0.511579722,0,0.389121339,0.031974996
129,0.148,0.287,0.267,0,ERODED,1,1,1,1,1,1,0.344929682,0.85884101,0.754360983,1,0.312224507,0,0.50209205,0
130,0.113,0.178,0.26,3,Not eroded,0,1,0,0,1,1,0.215396003,0.453937593,0.729441082,1,0.242450181,0.428571429,0.594142259,0
131,0.165,0.173,0.303,0,ERODED,1,1,1,1,1,1,0.40784604,0.435364042,0.88252047,1,0.671063894,0,0.158995816,0.453137158
135,0.0555,0.0684,0.259,0,Not eroded,0,1,1,1,1,1,0.002590674,0.046805349,0.725881096,1,0.23248242,0,0.305439331,0
136,0.321,0.271,0.28,0,Not eroded,0,1,1,1,1,1,0.985196151,0.799405646,0.800640797,1,0.441805397,0,0,0.397377535
139,0.155,0.265,0.29,2,Not eroded,0,1,0,1,1,1,0.370836417,0.777117385,0.836240655,1,0.541483004,0.285714286,0.313807531,0.372808949
144,0.225,0.0637,0.247,4,Not eroded,0,0,0,0,1,1,0.629903775,0.029346211,0.683161267,1,0.112869291,0.571428571,0.640167364,0
145,0.185,0.0954,0.268,4,Not eroded,0,0,0,0,1,1,0.481865285,0.147102526,0.757920968,1,0.322192267,0.571428571,0.577405858,0.304113041
147,0.209,0.325,0.3,0,ERODED,1,1,1,1,1,1,0.570688379,1,0.871840513,1,0.641160612,0,0,0.372943733
149,0.288,0.303,0.316,0,ERODED,1,1,1,1,1,1,0.863064397,0.918276374,0.928800285,1,0.800644785,0,0,0.7288757
152,0.281,0.169,0.244,0,Not eroded,0,1,1,1,1,1,0.837157661,0.420505201,0.67248131,1,0.082966009,0,0.79916318,0
153,0.304,0.202,0.237,4,Not eroded,0,0,0,0,1,1,0.922279793,0.543090639,0.64756141,1,0.013191683,0.571428571,0,0.775959553
156,0.247,0.114,0.244,0,Not eroded,0,1,1,1,1,1,0.711324944,0.216196137,0.67248131,1,0.082966009,0,0.820083682,0.424434603
158,0.123,0.0884,0.301,0,Not eroded,0,1,1,1,1,1,0.252405625,0.121099554,0.875400498,1,0.651128373,0,0.221757322,0
159,0.132,0.178,0.236,0,Not eroded,0,1,1,1,1,1,0.285714286,0.453937593,0.644001424,1,0.003223923,0,0.820083682,0
160,0.216,0.257,0.297,0,ERODED,1,1,1,1,1,1,0.596595115,0.747399703,0.861160555,1,0.61125733,0,0.276150628,0.622589185
163,0.0919,0.124,0.267,0,Not eroded,0,1,1,1,1,1,0.137305699,0.253343239,0.754360983,1,0.312224507,0,0.594142259,0
164,0.109,0.265,0.273,3,Not eroded,0,1,0,0,1,1,0.200592154,0.777117385,0.775720897,1,0.372031071,0.428571429,0.422594142,0.4853752
166,0.153,0.292,0.294,0,ERODED,1,1,1,1,1,1,0.363434493,0.877414562,0.850480598,1,0.581354048,0,0.251046025,0
167,0.187,0.072,0.281,4,Not eroded,0,0,0,0,1,1,0.489267209,0.060178306,0.804200783,1,0.451773157,0.571428571,0,0.932875138
168,0.244,0.252,0.324,0,ERODED,1,1,1,1,1,1,0.700222058,0.728826152,0.957280171,1,0.880386871,0,0.066945607,0
170,0.0558,0.0715,0.269,0,Not eroded,0,1,1,1,1,1,0.003700962,0.058320951,0.761480954,1,0.332160028,0,0.251046025,0
182,0.211,0.325,0.326,0,ERODED,1,1,1,1,1,1,0.578090303,1,0.964400142,1,0.900322392,0,0,0.626024
192,0.279,0.141,0.249,0,Not eroded,0,1,1,1,1,1,0.829755736,0.316493314,0.690281239,1,0.132804813,0,0.824267782,0
193,0.0883,0.266,0.279,3,Not eroded,0,1,0,0,1,1,0.123982235,0.780832095,0.797080812,1,0.431837636,0.428571429,0,0.000282295
194,0.156,0.125,0.238,0,Not eroded,0,1,1,1,1,1,0.37453738,0.257057949,0.651121396,1,0.023159444,0,0.807531381,0
195,0.281,0.255,0.315,0,ERODED,1,1,1,1,1,1,0.837157661,0.739970282,0.925240299,1,0.790677024,0,0.150627615,0.071221899
