Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity,EffectivePassing,CloggingProb
9,0.0555,0.15,0.259,4,Not eroded,0,0,0,0,1,1,0.002590674,0.349925706,0.725881096,1,0.147189424,0.571428571,0.399038462,0
19,0.0649,0.197,0.279,0,Not eroded,0,1,1,1,1,1,0.037379719,0.524517088,0.797080812,1,0.368698664,0,0,0.903247458
22,0.313,0.286,0.255,2,Not eroded,0,1,0,1,1,1,0.955588453,0.8551263,0.711641153,1,0.102887576,0.285714286,0,0.861119954
24,0.138,0.07,0.248,0,Not eroded,0,1,1,1,1,1,0.307920059,0.052748886,0.686721253,1,0.025359341,0,0,0.860876114
26,0.163,0.29,0.326,0,ERODED,1,1,1,1,1,1,0.400444115,0.869985141,0.964400142,1,0.88924538,0,0,9.23E-05
28,0.165,0.263,0.324,0,ERODED,1,1,1,1,1,1,0.40784604,0.769687964,0.957280171,1,0.867094456,0,0.076923077,0
29,0.28,0.0919,0.261,0,Not eroded,0,1,1,1,1,1,0.833456699,0.13410104,0.733001068,1,0.169340348,0,0,3.26E-06
31,0.296,0.221,0.287,0,Not eroded,0,1,1,1,1,1,0.892672095,0.613670134,0.825560698,1,0.457302361,0,0.442307692,0.055660884
33,0.214,0.302,0.308,0,ERODED,1,1,1,1,1,1,0.58919319,0.914561664,0.900320399,1,0.689887063,0,0,0.866286301
46,0.319,0.325,0.271,3,Not eroded,0,1,0,0,1,1,0.977794226,1,0.768600926,1,0.280094968,0.428571429,0.201923077,0
72,0.233,0.222,0.279,3,Not eroded,0,1,0,0,1,1,0.659511473,0.617384844,0.797080812,1,0.368698664,0.428571429,0.475961538,0
76,0.19,0.114,0.325,3,Not eroded,0,1,0,0,1,1,0.500370096,0.216196137,0.960840157,1,0.878169918,0.428571429,0.019230769,0.388781255
80,0.246,0.119,0.297,5,Not eroded,0,0,0,0,0,1,0.707623982,0.234769688,0.861160555,1,0.568056981,0.714285714,0.298076923,0.596025105
82,0.192,0.175,0.289,0,Not eroded,0,1,1,1,1,1,0.507772021,0.442793462,0.832680669,1,0.479453285,0,0.25,0
85,0.0911,0.14,0.26,0,Not eroded,0,1,1,1,1,1,0.13434493,0.312778603,0.729441082,1,0.158264886,0,0.634615385,0
95,0.135,0.111,0.269,3,Not eroded,0,1,0,0,1,1,0.296817172,0.205052006,0.761480954,1,0.257944044,0.428571429,0.682692308,0
96,0.29,0.168,0.251,0,Not eroded,0,1,1,1,1,1,0.870466321,0.41679049,0.69740121,1,0.058585728,0,0.850961538,0.449841023
98,0.243,0.0563,0.318,0,ERODED,1,1,1,1,1,1,0.696521095,0.001857355,0.935920256,1,0.800641683,0,0,0.570137795
101,0.132,0.252,0.258,3,Not eroded,0,1,0,0,1,1,0.285714286,0.728826152,0.722321111,1,0.136113962,0.428571429,0.620192308,0.448541331
103,0.243,0.316,0.291,0,Not eroded,0,1,1,1,1,1,0.696521095,0.966567608,0.839800641,1,0.501604209,0,0,0.012492548
105,0.175,0.0727,0.309,4,Not eroded,0,0,0,0,1,1,0.444855662,0.062778603,0.903880384,1,0.700962525,0.571428571,0,0.917300633
106,0.159,0.325,0.247,2,Not eroded,0,1,0,1,1,1,0.385640266,1,0.683161267,1,0.014283879,0.285714286,0,1.04E-07
109,0.325,0.261,0.309,2,Not eroded,0,1,0,1,1,1,1,0.762258544,0.903880384,1,0.700962525,0.285714286,0,0.382286904
114,0.204,0.108,0.271,0,Not eroded,0,1,1,1,1,1,0.552183568,0.193907875,0.768600926,1,0.280094968,0,0.524038462,0.517765399
127,0.291,0.231,0.287,0,Not eroded,0,1,1,1,1,1,0.874167283,0.650817236,0.825560698,1,0.457302361,0,0.447115385,0.031974996
129,0.148,0.287,0.267,0,ERODED,1,1,1,1,1,1,0.344929682,0.85884101,0.754360983,1,0.23579312,0,0.576923077,0
130,0.113,0.178,0.26,3,Not eroded,0,1,0,0,1,1,0.215396003,0.453937593,0.729441082,1,0.158264886,0.428571429,0.682692308,0
131,0.165,0.173,0.303,0,ERODED,1,1,1,1,1,1,0.40784604,0.435364042,0.88252047,1,0.634509753,0,0.182692308,0.453137158
135,0.0555,0.0684,0.259,0,Not eroded,0,1,1,1,1,1,0.002590674,0.046805349,0.725881096,1,0.147189424,0,0.350961538,0
136,0.321,0.271,0.28,0,Not eroded,0,1,1,1,1,1,0.985196151,0.799405646,0.800640797,1,0.379774126,0,0,0.397377535
139,0.155,0.265,0.29,2,Not eroded,0,1,0,1,1,1,0.370836417,0.777117385,0.836240655,1,0.490528747,0.285714286,0.360576923,0.372808949
144,0.225,0.0637,0.247,4,Not eroded,0,0,0,0,1,1,0.629903775,0.029346211,0.683161267,1,0.014283879,0.571428571,0.735576923,0
145,0.185,0.0954,0.268,4,Not eroded,0,0,0,0,1,1,0.481865285,0.147102526,0.757920968,1,0.246868582,0.571428571,0.663461538,0.304113041
147,0.209,0.325,0.3,0,ERODED,1,1,1,1,1,1,0.570688379,1,0.871840513,1,0.601283367,0,0,0.372943733
149,0.288,0.303,0.316,0,ERODED,1,1,1,1,1,1,0.863064397,0.918276374,0.928800285,1,0.778490759,0,0,0.7288757
158,0.123,0.0884,0.301,0,Not eroded,0,1,1,1,1,1,0.252405625,0.121099554,0.875400498,1,0.612358829,0,0.254807692,0
160,0.216,0.257,0.297,0,ERODED,1,1,1,1,1,1,0.596595115,0.747399703,0.861160555,1,0.568056981,0,0.317307692,0.622589185
